Full Name,Born,Batting Style,Bowling Style,Carrer,Age
මව මදුරාසිං විජයසිරි රංජිත් මද්රාසිං,"ජනවාරි 30, 1961, කුරුණගල",වම් අත පන්දු,දකුණු අත ඕෆ්බ්රීක්,"ගෘහස්ථ කවයන්හි ඉහළින්ම ශ්රේණිගත කර ඇති මධුරීමා සිය සීමිත අවස්ථාවල ජාත්යන්තර මට්ටමින් බලපෑමක් කිරීමට අසමත් විය.ඔහුගේ උස ගොඩනැගීමත් සමඟ, මධුරසිංහ මහතා සිය හොඳින් පියාසර කළ ඕවර්ලස්පින් ලබා දීමේදීදී තට්ටුවේ ලබා ගත හැකිය.1988 දී ඔහු ලෝඩ්ස්හිදී එංගලන්තයට එරෙහිව එංගලන්තයට එරෙහි ආරම්භයේදීම කඩුලු දැරු වූ නමුත් ඔහුගේ දෙවන පරීක්ෂණයෙන් වැඩි සාර්ථකත්වයක් ලැබීය.චන්දිගාර්හ් හි ඉහළ ශ්රේණිගත කළ ඉන්දියානු පිතිකරණ මාර්ගයකට එරෙහිව මොහොමඩ් අෂාරඩ්ඩින් සහ සචින් තෙන්ඩුල්කාර්ගේ කඩුලු 3 කට 300 ක් පමණ ගෙන ගියේය.පුදුමයට කරුණක් නම්, ඕස්ට්රේලියාවට එරෙහි ඕස්ට්රේලියාවට එරෙහි 1992-93 තරගාවලිය වන තෙක් ඔහු නැවත තෝරා නොගත්තේය.එය ඔහුගේ අවසාන ජාත්යන්තර තරගය වන අතර එය තවදුරටත් ඕනෑම අවස්ථාවකට ගෙවීම මුත්තයියා මුරලිදරන් බිහිවීම.ඔහු ගෘහස්ථ මට්ටමින් කදිම පන්දු යවන්නෙකු වූ අතර දක්ෂ පහළ පිතිකරුන්ට වඩා වැඩි ය.",අවු. 60 දවස්. 268
කපිල ඉන්දුකා වීරකොඩි විජේගුනවර්ධන,"නොවැම්බර් 23, 1964, කොළඹ",දකුණු අත පිතිකරණය,දකුණු අත වේගවත් මාධ්යය,"කපිල විජේගුනවර්ධන යනු තෝරාගත් විට ශ්රී ලංකාවට සේවය කළ ස්ථාවර මාධ්ය පන්දු යවන්නාකි.ජාත්යන්තර මට්ටමින් ඔහුට අව්යාජ තර්ජනයක් ලෙස මිදුලක් හෝ නිවැරදි රේඛාවක් ඇති නමුත් නිවැරදි රේඛාවක් සහ පන්දුව ඔහුගේ හැකියාව අවතක්සේරු කරන්නේ නම් පිතිකරු කරදරයට පත් කිරීමේ හැකියාව.තේරීම් කමිටුව පැහැදිලිවම විජේගුනාවවර්ධන විසින් එක්දින පන්දු යවන්නෙකු ලෙස විජේගුනාවවර්ධන විසින් සිදු වූ අතර එය ඔහුගේ ජාත්යන්තර මංගල්යය කළේ මෙම ක්රීඩාවේදීය.පිළිවෙලට ඇති ඕවර 8 න් 2/29 ක් ලබා ගැනීම ශ්රී ලංකාවට සිය මූලික තරඟයේදී පාකිස්තානයට එරෙහිව ජයග්රහණය කිරීමට ශ්රී ලංකාවට උදව් කළේය.ඔහුගේ ටෙස්ට් තරගය 1991 දී එංගලන්තයේ සංචාරය 1991 දී එංගලන්ත සංචාරයක යෙදී සිටියේ, ඔහු අරපිරිමැස්මෙන් භාවිතා කළ අතර ඔහු අරපිරිමැස්මෙන් භාවිතා කළ අතර කඩුලු රහිත විය.ෆයිසලාබද්හිදී පාකිස්තානයට එරෙහි දෙවන හා අවසාන පරීක්ෂණයේදී ඔහුට තරග විශ්ලේෂණය 7/98 ක් වූ අතර දෙවන ඉනිමේදී ඔහුගේ 4/51 දී ඔහුගේ 4/51 කදී ශ්රී ලංකාව අමතක නොවන ජයග්රහණයක් ලබා දුන්නේය.",අවු. 56 දවස්. 336
නිලන්ත ලක්ෂිතා කිත්සිරි රත්නායක,"නොවැම්බර් 22, 1968, කොළඹ",වම් අත පන්දු,දකුණු අත වේගවත් මාධ්යය,ඔහුගේ එක්දින තරගය ශ්රී ලංකා එදිරිව පාකිස්තානය එස්.කේ.ඒ. පාකිස්තානයේ සාජා - 1989 මාර්තු 24 වන දින එස්.ඒ.එස්.,අවු. 52 දවස්. 337
ලල්ලැන්ඩෝ ප්රනාන්දු,"1962, දෙසැම්බර් 27",දකුණු අත පිතිකරණය,දකුණු අත මාධ්යය,ඔහු 1989 දී මාගෝ හි එක් තරඟයක් වන එදිරිව එක් තරඟයක් පමණක් ක්රීඩා කර ඇත.,අවු. 58 දවස්. 302
සනත් ටොරන් ජයසූරිය,"ජුනි 30, 1969, මාතර",වම් අත පන්දු,මන්දගාමී වම් අත ඕතඩොක්ස්,"තම වෘත්තියේ දිවයිනේ මුල් භාගයේදී සනත් ජයසූරිය සිය වෘත්තීය ජීවිතය ගැන සිතීම දුෂ්කර ය.ඔහු ගැන දැන් ඔහු ගැන සිතන්න, ඔබ ස්මිටි වලින් කෙළින්ම කුළුණෙන් මඳක්, වෙඩි හා ආවරණය හරහා මිටියක් සහ ආවරණයක් සහ ආවරණය හරහා කපන ලද වෙඩි තැබීම ගැන සිතන්න.පන්දු යැවීමේ ප්රහාරවලින් කඩා දමා පුළුස්සා දැමූ සහ පුළුස්සා දැමූ ක්රීඩාවේ සෑම ආකාරයකම එක හා සමානව ලකුණු ලබා ගත හැකි මිනිසෙකු ඔබට මතකයි.අසාමාන්ය අතින් සම්බන්ධීකරණයෙන් බොහෝ දේ රඳා සිටිනු ඇති අතර, අගල සහ කෙට්ටු වාර ගණනක් ඇති වූ නමුත් ඔබ්ටිෆ් ලේඛකයින් කාර්යබහුල වූවාක් මෙන් ඔහු උත්තරීතර බලයේ තවත් ඉනිමක් බිහි කරයි.පන්දු යැවීම, සැමවිටම කඩුලු 440 ක්ම තමා කළ දේ ගැන සැලකිලිමත් වූ බව ජාත්යන්තර කඩුලු 440 ක්ම පැවසිය යුතු බව ජාත්යන්තර කඩුලු 440 ක්ම කඩුලු 440 ක් වුවද පන්දු යැවීම, සෑම විටම යුසී වර්ෂාව මත රඳා පැවතුනි.",අවු. 52 දවස්. 117
මර්වන් සැම්සන් අටපට්ටු,"නොවැම්බර් 22, 1970, කළුතර",දකුණු අත පිතිකරණය,ලෙග්බ්රේක්,"අවදානමට ලක්විය හැකි ආරම්භකයක් වන අටපට්ටු චරිතයේ අතිවිශිෂ්ට ශක්තියක් පෙන්නුම් කළ අතර, ඔහු ප්රතිශත තණතීරුවක දක්ෂතා දැක්වූයේ, ඔහු සිය ආරම්භක හවුල්කරු වන සනත් ජයසූරිය, ඔහුගේ ආරම්භක හවුල්කරු වන සනත් ජයසූරියගේ අවදානම් සඳහා ප්රයෝජනවත් ප්රතිවිරුද්ධ ලක්ෂ්යයකිපරීක්ෂණ වෘත්තිය.ඔහුගේ මුළු බිග් ටෙස්ට් ඉනිම - ඔහුගේ වෘත්තීය ජීවිතය තුළ ඔහු ද්විභාෂා හයක් වාර්තා කළේයඑහි ආරම්භය: ස්ථාපිත වීමට වසර හතකට ආසන්න කාලයක් ගත විය.කෙසේ වෙතත්, 1990 දශකයේ සිට ඔහුගේ සාමාන්යය ඉහළට ඔසවා තැබීය.නැරඹීමට අලංකාර ක්රීඩකයෙක්, අටපට්ටුගේ අත්සන වෙඩි තැබීම ඔහුගේ ඉහළ වැලමිට ආවරණ ධාවකය විය.",අවු. 50 දවස්. 337
දම්මිකා රණතුංග,"ඔක්තෝබර් 12, 1962, කොළඹ",දකුණු අත පිතිකරණය,දකුණු අත ඕෆ්බ්රීක්,ටෙස්ට් මට්ටමින් ශ්රී ලංකාව නියෝජනය කිරීම සඳහා සහෝදරයන් තිදෙනාගෙන් වැඩිමලා වූ ධම්මිකා රණතුංගට ජාත්යන්තර තලයේ ගිහි.1990-91 දී ඕස්ට්රේලියාවේ සංචාරය කිරීම සඳහා ඕස්ට්රේලියානු සංචාරය සඳහා ශ්රී ලංකාවේ ශ්රී ලංකාව වෙනුවෙන් පිතිකරණය විවෘත කරන ලද පුස්තකාල විවෘත කරන ලද පිතිකරුවෙකු ශ්රී ලංකාව වෙනුවෙන් ශ්රී ලංකාව වෙනුවෙන් පිතිකරණය විවෘත කළේය.එය ඔහුගේ එකම ටෙස්ට් තරගය බව ඔප්පු වුවද ඔහු සිය මංගල උත්සවය 40 ක් ලබා ගනිමින් ඉවසීම සහ ආසචනාවෙන් පරුණු ලෙස පරුණු ලෙස පිල ලකුණු රැස් කළේය.ඔහුගේ අන්තර්ජාතික විලාසිතාව ක්රීඩාවේ දිගු ආකෘතියට ගැලපෙන අතර ඔහු අරගල කළේ එක් දින මට්ටමක ඔහු තම සීමිත මට්ටමක බවයි.ඔහු පසුව ශ්රී ලංකා ක්රිකට් ධූරාවලියේ බලගතු පරිපාලකයෙකු බවට පත් වූ අතර එය ක්රිකට් මණ්ඩලයේ ප්රධාන විධායක නිලධාරියා විය.,අවු. 59 දවස්. 13
රොමේෂ් ශාන්ත කළුහොරනා,"නොවැම්බර් 24, කොළඹ 1969",දකුණු අත පිතිකරණය,කඩුලු රකින්නා,"1992-99 දින ඕස්ට්රේලියාවට එරෙහි ආරම්භයේ දී නොදැවී ලකුණු 132 ක් ලබා ගනිමින් ""කළු"" කබොල්ලෙන් පීඩා විඳින ""කළු"" මළ සිරුරට ලක් විය.කෙසේ වෙතත්, මෙතරම් පුදුමාකාර ආරම්භයක් ලැබීමෙන් පසු, ජ්යෙෂ් senior පැත්තේ තම ස්ථානය කඩුල්ල පිටුපස ඇති නිසා ඔහුගේ ස්ථානය සුරක්ෂිත කිරීමට ඔහු අසමත් විය.තීරණාත්මක 1995-96 සංචාරය සඳහා ඕස්ට්රේලියාවේ සංචාරය, ඔහුගේ වෘත්තීය ජීවිතයේ සන්ධි ජයසූරිය සමඟ විනාශකාරී ලෙස ආරම්භක හවුල්කාරිත්වයක් ඇති කර ගැනීමට ඔහු සිහිපත් විය.යුගලයේ ලකුණු ලබා ගැනීමේ ලකුණු අනුපාතය එක්දින පිතිකරණය විප්ලවයට පත් කළ අතර ඔහු ශීත the තුවේ විශ්මය ජනක ලෝක කුසලාන ජයග්රහණයේ අනිවාර්ය චරිතයක් විය.එතැන් සිට ඔහුගේ පිතිකරණ විලාසය තරමක් සහ ඔහු වැඩි ඉනිම සෙල්ලම් කිරීමට සූදානම් විය.කුමාර් සංගක්කාර මතුවීම 2000 න් පසු ඔහුගේ ආන්තිකකරණයට හේතු විය. නමුත් එක්දින සහ පරීක්ෂණ කණ්ඩායම සඳහා වරින් වර ප්රතිලාභ ලබා දුන්නේය",අවු. 51 දවස්. 335
සංරක්ෂණාගාරය අවශ්යයි,"නොවැම්බර් 23, 1960, මාතර",වම් අත පන්දු,දකුණු අත මාධ්යය,ඔහුගේ සීමිත ටෙස්ට් ජීවිතයේ දී වෝර්නවීර to ලදායී පන්දු යවන්නෙකි.දූපවේදීෙකු වන වෝර්නවීර ඉක්මන් වේගයකින් පන්දුව පන්දුව පන්දුවක පන්දුවකට පන්දු යැවීය.,අවු. 60 දවස්. 336
චරිත් අතීතය පක්ෂග්රාහී පල්ලිය,"දෙසැම්බර් 19, 1962, කොළඹ",වම් අත පන්දු,දකුණු අත මාධ්යය,"1990-91 නවසීලන්තයේ සංචාරය පිළිබඳ ආරම්භක පිතිකරුවෙකු ලෙස සිය ස්ථාවරය ස්ථාපිත කිරීමට චරිත් සේනානායකට අවස්ථාව ලබා දෙන ලදී.වමතින් පිතිකරුවෙකු වූ ඔහු දක්ෂ ආ roke ාතකයෙකු වූ නමුත් නවසීලන්ත කඩුලු ටාකෑමේ නියෝගයට වඩා හොඳින් ගැලපෙන අතර එහිදී නව පන්දුවට එරෙහිව නව පන්දුවට සැක සහිත විය.හැමිල්ටන් හි දෙවන ටෙස්ට් තරගයේදී ඔහු තම වැඩිම ටෙස්ට් ලකුණු 64 ක් රැස් කළ අතර චන්දිකා හතුරිසිංහ සමඟ පළමු කඩුල්ල සඳහා 95 ක් එකතු කළේය.රොෂාන් මහානාමා සහ හතුරුසිංහ මහතා ශක්තිමත් ආරම්භක යුගලයක් පිහිටුවීමත් සමඟ මෙම සංචාරයෙන් පසුව තවත් අවස්ථාවක් නොලැබුණි.එක්දින ජාත්යන්තර ජාත්යන්තර ක්රියාකාරකම් හතරකදී ඔහු තරමක් පුදුමයට කරුණක් නම්, ක්රීඩාවේ නිදහස් ලකුණු ස්වභාවය ඔහුගේ මානසිකත්වයට සරිලන පරිදි තරමක් පුදුමයට කරුණකි.",අවු. 58 දවස්. 310
ගැලගේ ප්රමෝඩියා වික්රමසිංහ,"අගෝස්තු 14, 1971, මාතර",දකුණු අත පිතිකරණය,දකුණු අත වේගවත් මාධ්යය,"ඔහු දැන සිටි පරිදි ප්රමෝඩියා වික්රමසිංහ නොහොත් 'විකී' යනු විශ්වසනීය මාධ්ය වේග වේග පන්දු යවන්නා වන අතර එය ප්රහාරයට වටිනා අත්දැකීම් සහ පාලනයක් ලබා දුන්හ.වේගයෙන් සාපේක්ෂව මෘදුයි, ඔහු වාතයේ නිරවද්යතාව සහ චලනය මත විශ්වාසය තැබීය.ඔහු මටාරා හි රාහුල විද්යාලයේ අධ්යාපනය ලැබූ අතර සිංහල ක්රීඩා සමාජය සඳහා සිය සමාජ ශාලාවේ ක්රිකට් ක්රීඩා කරන ලදී.1989 දී බංග්ලාදේශ කුසලාන ශූරතාවලියේ සිට 1989 දී බංග්ලාදේශයේ කුසලාන ශූරතාවලියේ සිට 1991 දී ඔහු ශ්රී ලංකාවේ 'බී' කණ්ඩායම සමඟ හඳුන්වා දෙන ලදී.කළුතුරා ycC ට වඩා 41 ක් සඳහා 10 ක්.2000 දී ඕස්ට්රේලියාවේ ඔහුගේ උරහිස මත ශල්යකර්මයකට භාජනය වීමට ඔහුට බල කෙරුණු අතර, ඔහු ආපසු පැමිණි විට ඔහුගේ ස්ථානය පැත්තට තම ස්ථානය සිමෙන්ති කිරීම දුෂ්කර විය",අවු. 50 දවස්. 72
ලබා ගත හැකි චන්දිකා බැල්ලුස්,"සැප්තැම්බර් 13, 1968, කොළඹ",දකුණු අත පිතිකරණය,දකුණු අත මධ්යම වේගයෙන්,"ආරම්භක ශෛලියක් සහ ස්ථිතික ස්වභාවයක් ඇති ආරම්භක පිතිකරුවෙකු වන හතුරුසිංහ රොෂාන් මහානාමා සමඟ ස්ථාවර ආරම්භක හවුල්කාරිත්වයක් ඇති කර ගත්තේය. තත්වය අවශ්ය වූ විට දීර් enghin ු ඉනිම වාදනය කළ හැකි විට හතුරසිංහ විවිධ ආ ro ාත ඇති බව හතුසිංහ. වාතය හරහා අව්යාජ චලනයකට හැකියාව ඇති ඩයිනකි මධ්යම වේග පන්දු යවන්නෙක්. තුවාල ලැබූ මහානාමා වෙනුවට හැමිල්ටන් හි නවසීලන්තයට එරෙහිව නවසීලන්තයට එරෙහිව පැත්තේ සිටි ඔහු ඊට ප්රතිචාර දැක්වූයේ ඔහුගේ පළමු පරීක්ෂණ තුනෙන් අර්ධ ශතක තුනක කාලයක් සියවස් තුනක් හදාරමින් ය. පහත සඳහන් ලිපි මාලාවේ පහසු දායකත්වයක් තිබියදීත්, දකුණු අප්රිකානුවන්ගේ වේගයට එරෙහිව දුෂ්කර කාලයකට පසු ඔහු අතහැර දමා ගියේය. පසෙකින් සිදු වූ කාල පරිච්ඡේදයකට පසුව, වෙනත් කිසිදු ආරම්භක පිතිකරුට ස්ථිර තනතුරක් ස්ථාපිත කළ නොහැකි, ඔහු පාකිස්තානය නැරඹීමට තෝරාගෙන විශිෂ්ට මාලාවක් සමඟ ප්රතිචාර දැක්වීය. ඕස්ට්රේලියාවේ සිදු වූ ගමනේදී සනත් ජයසූරිය ඉස්මතු වීමෙන් පසු හතුරුසිංහ යළිත් පිටව ගියේය. මෙම අත්හදා බැලීම කෙටි විය. 1999 ලෝක කුසලානය සඳහා තෝරාගත් හතුසිංහ එක තරගයක් සඳහා එක් තරගයක් ලෙස රෙකෝඩ් ලෙස හතුසිං කැඳවූ අතර, තරුණ ක්රීඩකයින් තෝරා ගැනීමේ තේරීම් කමිටුව අවසානය ඔහුගේ ජාත්යන්තර වෘත්තීය ජීවිතය සඳහා තෝරා ගත්තේය. ඔහු 2005 දී පළමු පන්තියේ ක්රිකට් ක්රීඩාවෙන් බැහැරව පුහුණු වූ අතර එක්සත් අරාබි එමීර් රාජ්යයේ සහ ශ්රී ලංකාවේ පුහුණුකරු ලෙස කටයුතු කර ඇත.",අවු. 53 දවස්. 42
සේනනි කල්පගේ,"පෙබරවාරි 19, 1970, මහනුවර",වම් අත පන්දු,දකුණු අත ඕෆ්බ්රීක්,"චේලටර් කල්පගේ සටන්කරුවෙක් ක්රීඩාවේ කෙටි ආකෘතියෙන් හස්ත කර්මාන්ත ශාලාවක් වී ඇති අතර, ඔහුගේ සිත් ඇදගන්නා සුළු නිපුණතාවය නිසා ඔහු වටිනා උපයෝගිතා ක්රීඩකයෙකු බවට පත්වේ.ටෙස්ට් ක්ෂේත්රයේදී ඔහුගේ පෙනුම ඔහුගේ පෙනුම කණ්ඩායමේ නිර්වචක කාර්යභාරයක් සොයා ගැනීමට වෙහෙස මහන්සි වී වැඩ කළ අතර, පිතිකරුවෙකු හෝ පන්දු යවන්නෙකු ලෙස තනතුරක් අවශ්ය වේ.",අවු. 51 දවස්. 248
දුලිප් කපිල ලියනගේ,"ජුනි 06, 1972, කළුතර",වම් අත පන්දු,දකුණු අත වේගවත් මාධ්යය,"වේගවත් මධ්ය පන්දු යවන්නෙකු වන දුමුලිප් ලියනාගේ 1992-93 දී කොළඹදී මුත්තයියා මුරලිදරන් සමඟ ටෙස්ට් තරගය ආරම්භ කළේය.ඔහුට ආකර්ෂණීය මංගරයක් තිබූ අතර ටොම් මොඩිගේ කඩුල්ල ඔහුගේ තෙවැනි පන්දුවෙන් කඩුලු ලබා ගත් අතර ඇලන් දේශ සීමාවේ සහ ඩේවිඩ් බූන් කඩුලු ලබා ගත්තේය.නවසීලන්තයට එරෙහිව අනුගමනය කළ පරීක්ෂණ දෙකේදී ඔහු ශ්රී ලංකාවේ දඟ පන්දු යවන්නන්ගේ ආධිපත්යය දැරූ තරගාවලියේදී සිය පොරොන්දු වූ පෝරමය කඩුලු 7 ක් දවා ගත්තේය.ප්රතිචාර නොදක්වන තණතීරු මත.තුවාලය ඔහුගේ අනාගත අවස්ථා සීමා කරන අතර, කෙටිකාලීන, කෙටිකාලීන, කෙටිකාලීන, 1997 දී එක්දින තරගාවලියට නැවත පැමිණීමට පෙර ඔහු අපැහැදිලි විය. ඔහු එක්දින තරගාවලියේදී ශ්රී ලංකාව නියෝජනය කළේය.පාකිස්තානය ඔහු නැවතත් තුවාල ලබා ඇත.කෝල්ට්ස් සීසී සමඟ ආකර්ෂණීය කන්නයකින් පසු ඔහුට තවත් අවස්ථාවක් ලබා දී 2001 අගෝස්තු මාසයේදී ඉන්දියාවේ ශ්රී ලංකා සංචාරය සඳහා සංචිතයට සිහිපත් කළේය. ඔහු අවසන් කොළඹ පරීක්ෂණයේදී ක්රීඩා කළේය.",අවු. 49 දවස්. 141
ඇන්ගුප්පුලිග් ගාමිනි දන්තන්ත වික්රමසිංහ,"1965 දෙසැම්බර් 27, කොළඹ",දකුණු අත පිතිකරණය,දකුණු අත ඕෆ්බ්රීක්,"ගාමිනි වික්රමසිංහ තේරීම් කමිටුවරුන්ගේ කැමැත්තෙන් පෙනී සිටියේය. කඩුලු පිටුපස craff න ප්රසංගයක් සහ තීරණය කරන ලද පහළ ඇණවුම් පිතිකරුවෙකු වූ ඔහුට ජාතික කණ්ඩායම තුළ ස්ථිර ස්ථාවරයක් ඇති කිරීමට අවස්ථාවක් ලබා නොදුනි. උත්ප්රාසාත්මක ලෙස තේරීම් කරුවන් ශ්රී ලාංකික මට්ටමේ කඩුලු රකින්නා ලෙස සිය විමර්ශන කණ්ඩායමේ හෂාන් තිලකරත්න මහතා ශ්රී ලංකා කඩුලුම් පාලකයා ලෙස කැමති වූ අතර තිලකරත්න විශේෂ පිතිකරුවෙකු ලෙස ක්රීඩා කළේය. වික්රමසිංහ 1989-90 සංචාරයේදී ගබ්බා හිදී සියදියේම කඩුල්ලේ ගබ්බා හිදී ද පිදුම් ලැබූ අතර ලකුණු දෙකක් රැස් කළේය. තුවාල සිදුවීම හොබාර්ට් හි දෙවන ටෙස්ට් තරගය අතපසු කිරීමට ඔහුට බල කළ අතර තිලකරත්න මහතා ආකර්ෂණීය සංදර්ශනයක් ලබා දෙන ස්ථානය ඉක්මවා ගියේය. මෙතැන් සිට ගර්මීසිංහට තින්කෙකරත්නට වඩා තිලකෙරත්නිට වඩා තින්කෙරත්නට කැමති බැවින් වික්රමසිංහ මත සිට වික්රමසිංහ පසුබිමට හෙළනු ලැබීය. වික්රමසිංහ මහතා දේශීය මට්ටමින් අඛණ්ඩව දක්ෂ, දක්ෂ දක්ෂයෙකු ලෙස කටයුතු කළ අතර 1992-99 දින නවසීලන්තයට එරෙහිව නවසීලන්තයට එරෙහිව නැවත කැඳවීමක් ලබා ගත්තේය. මාලිංග් තරගය ජයගත් අතර වික්රමසිංහ මුරලිදරන්, වෝර්නවීර සහ අනුරසිරිගේ විලාසිතාවේ භ්රමණය සමඟ කඩුලු පිටුපස සහතික සංදර්ශනයක් ලබා දුන්නේය. කෙසේ වෙතත්, ඔවුන්ගේ ප්ර wisdom ාවේ තේරීම්කරුවන් ප්රථම වරට නොව, උසස් පිතිකරණ කුසලතා ඇති ක්රීඩකයාට උදුරා ගැනීමට තීරණය කළහ. ඊළඟ වසර කිහිපය තුළ අපේක්ෂකයින් ගණනාවක් අපේක්ෂකයින් ගණනාවක් සාර්ථකව සාර්ථකව නඩු පවරන ලද අතර වික්රමසිංහ අඛණ්ඩව ගෘහස්ථ මට්ටමින් අඛණ්ඩව සිදු කළේය. ඔහුට තනිවම තනතුර සලස්වන්නට ඇති අවස්ථාව සැලකිල්ලට ගෙන.",අවු. 55 දවස්. 302
නිශාන්ත රණතුංග,"ජනවාරි 22, 1966, ගම්පහා",දකුණු අත පිතිකරණය,දකුණු අත මධ්යම වේගයෙන්,ඔහුගේ එක්දින තරගය ශ්රී ලංකාව එදිරිව සිම්බාබ්වේ හි එස්.එස්. සිම්බාබ්වේ හි එස්.පී.ඒ.එස්. සිම්බාබ්වේ හි එස්.පී.,අවු. 55 දවස්. 276
මුතුියා මුරලිදරන්,"අප්රේල් 17, 1972, මහනුවර",දකුණු අත පිතිකරණය,දකුණු අත ඕෆ්බ්රීක්,"සමහර විට ඩග්ලස් ජැඩින්ට මුතු මල්ලිදුරන් මෙන් මතකය ධ්රැවීකරණය වී ඇති බැවින් ක්රිකට් ක්රීඩකයෙක් විය හැකිය. ඇදහිලිවන්තයන් සඳහා, ඔහු පන්දුවකට පහර දුන් ශ්රේෂ් greatest තම කාලය අතර වේ. සැකකරුවන් සඳහා, ඔහු ක්රීඩාවේ ශ්රේෂ් greatest තම වාර්තා නුසුදුසු ය. අවිවාදිත යනු කුමක්ද? ඕනෑම මතුපිටක් ගැන පන්දුව තියුනු ලෙස යොමු කිරීමට ඔහුට ඇති හැකියාව වූ අතර, අඩු මිනිසෙකු සමත් වූ මැරතන් අක්ෂර වින්යාසය 18 ට වඩා කන්සෑ ක්රියාවක්ද? බොහෝ විට ප්රතී නැත. 1996 දී ලෝක කුසලාන ජයග්රාහී පැත්තෙන් ඔහු කලාතුරකින් බලාපොරොත්තු සුන් විය. ඔහු අවසන් වසර 11 කට පසුව පැවති ලකුණු 11 ට පසුව, රටේ විශාලතම ක්රීඩා අවස්ථා කිහිපයකම කාර්යභාරය ඉටු කළේය. 1998 දී එංගලන්තයේ ඕවල්හිදී එංගලන්ත එංගලන්තයට උදව් කළ ඔහුගේ කඩුලු 16 ක් දවා ගනිමින් ශ්රී ලංකාව එක් පරීක්ෂණයකට පමණක් වටිනා යැයි සැලකේ. ඉන්දියාව සහ ඕස්ට්රේලියාව හැරුණු විට සෑම රටකම බෝලය සමඟ 30 ට වඩා වැඩි පිරිසක් සමඟ විනෝද වූ අතර ඔහු ඉන්දියාව, එංගලන්තය සහ දකුණු අප්රිකාවට කඩුලු 100 කට වැඩි ප්රමාණයක් සහිත විශිෂ්ට ටෙස්ට් දිවියක් අවසන් කළේය.",අවු. 49 දවස්. 191
පුබුදු බතියා දිසානායක,"ජූලි 11, 1970, මහනුවර",දකුණු අත පිතිකරණය,කඩුලු රකින්නා,පළමු තේරීම් පාලකයා ලෙස කෙටි කාලයකට පසු දසනායක ධුරය වැඩි කරමින් ක්රීඩකයන්ගේ තනතුර ඉහළ යන ලැයිස්තුවට එක්විය.ඔහුගේ පිතිකරණය ජාත්යන්තර ප්රමිතීන්ට වඩා පහළින් වැටී ඔහුට ප්රතිස්ථාපනය වීමට හේතු විය.ඉහළ ඇණවුම කඩා බිඳ දමා තිබූ දකුණු අප්රිකානු වේග ප්රහාරයේ තර්ජනයට එරෙහිව පළමු අතට පන්දුවට පහර දීමට ඉල්ලා සිටි විට ඔහු ධෛර්යයෙන් යුතුව එසේ කළේය.චමාරා ඩුසිංහ මහතා 1994/95 දී නවසීලන්ත සංචාරයට පිවිසීමෙන් පසු දසනායක මහතා 1998 දී එංගලන්තයට එරෙහිව ශ්රී ලංකාවේ ශ්රී ලංකාවේ 'ඒ' නියෝජනය කරමින් ජාත්යන්තර ස්ථානයට පැමිණියේය,අවු. 51 දවස්. 106
රණසිංහ පට්ටිකිරිකෝරලගේ අරුණ හේමන්ත වික්රරයරත්න,"පෙබරවාරි 21, 1971, කොළඹ",වම් අත පන්දු,මන්දගාමී වම් අත ඕතඩොක්ස්,1993 සැප්තැම්බර් 04 වන දින ඔහුගේ එක්දින තරගාවලියේ එදිරිව ශ්රී ලංකාව එදිරිව දකුණු අප්රිකාව. අවසන් එක්දින තරගය 1993 දෙසැම්බර් 16 වන දින ශ්රී ලංකාව එදිරිව බටහිර ඉන්දීය කොදෙව්ස් ය.,අවු. 50 දවස්. 246
දුලිප් යනු වරෙන්තුවකි,"පෙබරවාරි 12, 1972, කොළඹ",දකුණු අත පිතිකරණය,දකුණු අත ඕෆ්බ්රීක්,දුලිප් සමරාවිරා යනු අධිෂ් standard විවෘත ආරම්භක පිතිකරුවෙකි.චන්දිකා හෘරුසිංට ආදේශකයක් ලෙස තෝරාගත් සමරාවීර මහතා තවදුරටත් තේරීමට වරෙන්තු කිරීමට ඇති සීමිත අවස්ථාවක ප්රමාණවත් නොවීය.ඔහු ලකුණු 16 සහ 5. ලකුණු 16 ත් 5 ක් ලබා ගත් බව ඔහු විසින් ලකුණු 16 සහ 5. ලකුණු 16 ක් ලබා ගත්හ.දේශීය මට්ටමින් Bater න පිතිකරුවෙකු ශ්රී ලංකාව සඳහා ඔහු අවශ්ය ප්රමිතියට වඩා පහත වැටුණි.ආරම්භක පන්දු යවන්නන් ඔබ දුටු විට ඔහු පූර්ණ වාසි ලබා ගැනීම සඳහා අවශ්ය ආරවුල් ප්රදර්ශනය කිරීමට අපොහොසත් වූ ඔහු ටෙස්ට් ඉනිම 14 ක 50 ක් සමත් වීමට අපොහොසත් විය.ඔහු අතිවිශිෂ්ට ඩොමෙටිනර් කෙනෙක් විය.,අවු. 49 දවස්. 256
